LOCAL,MODALIDADE DE VENDA,20.07.2019,10.08.2019,23.08.2019,07.09.2019,20.09.2019,10.10.2019,12.12.2019,20.12.2019,28.12.2019,11.01.2020,24.01.2020,05.02.2020,29.02.2020,07.03.2020,12.03.2020,18.03.2020,24.03.2020,31.03.2020,09.04.2020,18.04.2020,25.04.2020,29.04.2020,07.05.2020,12.05.2020,19.05.2020,23.05.2020,20.06.2020,15.07.2020,01.08.2020,05.08.2020,14.08.2020,28.08.2020,02.09.2020,05.09.2020,10.09.2020,19.09.2020,26.09.2020,10.10.2020,16.10.2020,31.10.2020,18.11.2020,25.11.2020,19.12.2020,06.01.2021,12.01.2021,06.02.2021,13.02.2021,19.02.2021,25.02.2021,04.03.2021,09.03.2021,17.03.2021,24.03.2021,17.04.2021,27.04.2021,05.05.2021,12.05.2021,21.05.2021,29.05.2021,09.06.2021,24.06.2021,07.07.2021,14.07.2021,21.07.2021,20.07.2019,10.08.2019,23.08.2019,07.09.2019,20.09.2019,10.10.2019,12.12.2019,20.12.2019,28.12.2019,11.01.2020,24.01.2020,05.02.2020,29.02.2020,07.03.2020,12.03.2020,18.03.2020,24.03.2020,31.03.2020,09.04.2020,18.04.2020,25.04.2020,29.04.2020,07.05.2020,12.05.2020,19.05.2020,23.05.2020,20.06.2020,15.07.2020,01.08.2020,05.08.2020,14.08.2020,28.08.2020,02.09.2020,05.09.2020,10.09.2020,19.09.2020,26.09.2020,10.10.2020,16.10.2020,31.10.2020,18.11.2020,25.11.2020,19.12.2020,06.01.2021,12.01.2021,06.02.2021,13.02.2021,19.02.2021,25.02.2021,04.03.2021,09.03.2021,17.03.2021,24.03.2021,17.04.2021,27.04.2021,05.05.2021,12.05.2021,21.05.2021,29.05.2021,09.06.2021,24.06.2021,07.07.2021,14.07.2021,21.07.2021
ARAUCÁRIA (PR),EXA,"1.675,11","1.499,79","1.621,90","1.748,42","1.854,55","1.963,14","2.112,88","2.221,86","2.334,46","2.403,55","2.248,22","2.060,74","1.914,14","1.847,59","1.579,86","1.463,24","1.353,18","1.266,94","1.384,54","1.312,42","1.169,24","1.120,24","1.281,45","1.397,38","1.458,14","1.567,31","1.651,69","1.739,99","1.802,61","1.904,73","2.005,96","2.055,75","1.962,65","1.885,13","1.780,95","1.831,91","1.905,02","1.940,89","1.998,32","1.908,55","1.952,94","2.053,20","2.153,16","2.239,89","2.389,14","2.482,44","2.529,09","2.616,31","2.703,13","2.836,71","3.086,71","2.921,38","2.735,18","2.855,33","2.749,00","2.898,35","2.825,14","2.678,83","2.718,32","2.624,15","2.703,33","2.811,13","2.877,08","2.764,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAUCÁRIA (PR),LPA,"1.676,09","1.500,77","1.622,88","1.749,40","1.855,53","1.964,12","2.113,86","2.222,84","2.335,44","2.404,53","2.249,20","2.061,72","1.915,12","1.848,57","1.580,84","1.464,22","1.354,16","1.267,92","1.385,52","1.313,40","1.170,22","1.121,22","1.282,43","1.398,36","1.459,12","1.568,29","1.652,67","1.740,97","1.803,59","1.905,71","2.006,94","2.056,73","1.963,63","1.886,11","1.781,93","1.832,89","1.906,00","1.941,87","1.999,30","1.909,53","1.953,92","2.054,18","2.154,14","2.240,87","2.390,12","2.483,42","2.530,07","2.617,29","2.704,11","2.837,69","3.087,69","2.922,36","2.736,16","2.856,31","2.749,98","2.899,33","2.826,12","2.679,81","2.719,30","2.625,13","2.704,31","2.812,11","2.878,06","2.765,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARCARENA (PA),LTM,"1.440,31","1.264,30","1.385,62","1.510,47","1.611,41","1.711,77","1.866,21","1.968,92","2.073,68","2.139,54","1.968,13","1.793,60","1.613,08","1.544,28","1.276,35","1.156,11","1.044,88","959,028","1.076,43","1.011,95","863,38","802,816","963,83","1.090,64","1.152,97","1.267,43","1.366,51","1.453,05","1.521,35","1.622,68","1.721,76","1.773,11","1.681,88","1.603,97","1.497,73","1.550,46","1.623,47","1.661,49","1.719,12","1.630,33","1.677,76","1.773,70","1.876,60","1.961,67","2.110,92","2.200,88","2.249,69","2.336,61","2.416,78","2.541,34","2.792,51","2.625,32","2.434,52","2.554,86","2.449,12","2.595,04","2.525,26","2.380,13","2.420,11","2.326,23","2.405,90","2.513,70","2.579,65","2.467,15","1.486,56","1.361,51","1.522,14","1.649,05","1.765,47","1.930,21","1.930,21","2.031,44","2.136,20","2.202,35","2.032,72","1.859,06","1.682,07","1.615,53","1.348,28","1.232,35","1.122,30","1.037,82","1.156,89","1.092,70","947,366","889,644","1.051,15","1.161,69","1.224,80","1.336,52","1.432,47","1.519,98","1.585,25","1.688,05","1.788,99","1.841,81","1.748,12","1.669,43","1.563,98","1.616,71","1.674,92","1.712,65","1.771,06","1.683,74","1.727,64","1.823,68","1.907,77","1.994,50","2.144,73","2.235,77","2.290,16","2.377,48","2.458,43","2.585,53","2.836,71","2.669,52","2.479,40","2.599,55","2.493,81","2.640,22","2.570,05","2.423,54","2.463,03","2.370,33","2.450,00","2.557,80","2.623,75","2.511,25"
BETIM (MG),LPA,"1.806,83","1.621,90","1.743,52","1.869,45","1.974,60","2.081,81","2.232,44","2.340,24","2.451,37","2.519,78","2.361,41","2.176,48","2.065,15","1.999,00","1.731,27","1.613,96","1.503,81","1.417,67","1.534,58","1.464,02","1.319,77","1.268,71","1.429,92","1.547,71","1.609,06","1.719,21","1.806,43","1.894,93","1.960,00","2.062,02","2.162,96","2.213,04","2.119,05","2.041,44","1.937,36","1.988,52","2.061,63","2.097,59","2.155,12","2.065,55","2.110,33","2.209,80","2.310,15","2.396,69","2.545,94","2.638,65","2.685,69","2.772,91","2.858,46","2.990,47","3.240,66","3.075,14","2.888,16","3.008,31","2.904,03","3.052,70","2.980,08","2.834,94","2.874,44","2.780,26","2.859,44","2.967,24","3.033,20","2.920,69","1.843,18","1.719,02","1.880,03","2.008,02","2.128,66","2.300,16","2.300,26","2.402,67","2.513,90","2.582,59","2.425,99","2.241,95","2.134,15","2.070,15","1.803,30","1.690,21","1.581,23","1.496,46","1.615,04","1.544,68","1.403,65","1.355,63","1.516,84","1.618,86","1.680,80","1.788,30","1.872,29","1.961,86","2.023,90","2.127,38","2.230,19","2.281,73","2.185,30","2.106,90","2.003,51","2.004,88","2.077,99","2.148,75","2.207,06","2.119,05","2.160,31","2.259,78","2.341,42","2.429,52","2.578,77","2.673,54","2.726,16","2.813,68","2.900,11","3.034,67","3.284,86","3.117,67","2.927,55","3.047,70","2.941,96","3.088,37","3.018,20","2.871,69","2.911,19","2.817,01","2.896,19","3.003,99","3.069,95","2.957,44"
BETIM (MG),LCT,,,,,,,,,,,,,,,,,,,,,,,,,,"1.748,61","1.835,83","1.924,33","1.989,40","2.091,42","2.192,36","2.242,44","2.148,45","2.070,84","1.966,76","2.017,92","2.091,03","2.128,85","2.184,52","2.094,95","2.139,73","2.239,20","2.339,55","2.426,09","2.575,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.485,57","2.605,72","2.499,98","2.646,39","2.576,22","2.429,71","2.469,21","2.374,25","2.453,53","2.561,33","2.627,28","2.514,78"
CAMAÇARI (BA),LPA,"1.660,32","1.484,50","1.605,93","1.730,48","1.829,27","1.945,69","2.248,90","2.348,77","2.450,20","2.518,80","2.330,64","2.151,69","1.984,70","1.916,29","1.648,36","1.528,70","1.405,91","1.313,30","1.440,50","1.374,16","1.210,50","1.139,74","1.315,65","1.457,75","1.527,72","1.654,14","1.764,39","1.860,63","1.934,81","2.033,50","2.033,50","2.089,07","1.997,83","1.917,96","1.811,43","1.864,94","1.938,05","1.975,78","2.033,40","1.942,85","1.990,48","2.087,11","2.189,61","2.276,15","2.425,40","2.516,44","2.500,86","2.587,79","2.665,21","2.787,02","3.038,69","2.872,48","2.679,32","2.799,47","2.693,14","2.837,69","2.767,72","2.628,16","2.667,66","2.573,48","2.652,66","2.760,46","2.826,42","2.713,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANOAS (RS),EXA,"1.655,61","1.480,88","1.602,89","1.730,09","1.840,83","1.957,26","2.102,79","2.217,54","2.337,30","2.409,23","2.268,01","2.068,88","1.890,91","1.826,13","1.558,79","1.444,32","1.335,54","1.248,62","1.366,41","1.287,33","1.148,17","1.109,56","1.270,77","1.377,59","1.435,90","1.541,05","1.614,16","1.702,06","1.768,21","1.870,62","1.973,62","2.021,64","1.929,62","1.851,81","1.747,93","1.797,42","1.870,53","1.906,10","1.963,23","1.872,19","1.914,72","2.018,80","2.117,00","2.204,51","2.353,76","2.450,00","2.494,59","2.582,01","2.674,91","2.815,83","3.064,85","2.900,02","2.718,42","2.838,57","2.732,14","2.884,53","2.808,68","2.652,57","2.692,06","2.597,88","2.677,07","2.784,87","2.850,82","2.738,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTALEZA (CE),LPC,"1.715,69","1.528,21","1.651,10","1.780,17","1.893,56","2.032,62","2.174,42","2.292,61","2.415,31","2.488,91","2.353,96","2.177,95","1.940,50","1.877,48","1.607,00","1.494,40","1.385,03","1.297,81","1.414,04","1.332,80","1.195,21","1.160,71","1.321,92","1.427,66","1.485,58","1.588,78","1.662,28","1.749,89","1.769,49","1.913,06","2.018,11","2.066,53","1.972,35","1.893,85","1.790,26","1.837,50","1.910,61","1.947,75","2.005,67","1.914,92","1.955,10","2.061,04","2.157,96","2.248,02","2.397,28","2.496,35","2.540,85","2.628,95","2.724,89","2.871,01","3.120,03","2.954,80","2.773,89","2.894,04","2.794,27","2.948,13","2.870,42","2.700,19","2.739,69","2.645,51","2.724,69","2.832,49","2.898,45","2.785,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANAUS (AM),FOB,"1.685,60","1.509,98","1.631,41","1.756,16","1.855,92","1.954,22","2.109,94","2.210,88","2.313,78","2.378,95","2.204,12","2.032,81","1.711,37","1.642,97","1.375,04","1.254,89","1.143,07","1.057,03","1.174,43","1.109,95","961,38","902,384","1.061,83","1.188,64","1.250,97","1.365,43","1.464,51","1.551,05","1.619,35","1.720,68","1.819,76","1.871,11","1.779,88","1.701,97","1.595,73","1.648,46","1.721,57","1.760,28","1.817,12","1.728,33","1.775,76","1.871,70","1.974,60","2.059,67","2.208,92","2.298,88","2.347,69","2.434,61","2.514,78","2.639,34","2.890,51","2.723,32","2.533,20","2.653,35","2.547,12","2.693,04","2.623,26","2.478,13","2.498,51","2.448,73","2.484,30","2.592,10","2.658,05","2.545,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANAUS (AM),LPC,"1.690,01","1.514,39","1.635,82","1.760,57","1.860,33","1.958,63","2.114,35","2.215,29","2.318,19","2.383,36","2.208,53","2.037,22","1.715,78","1.857,10","1.589,17","1.469,51","1.338,88","1.238,43","1.375,43","1.300,26","1.125,82","1.057,03","1.243,72","1.391,70","1.463,63","1.597,89","1.713,82","1.800,26","1.863,67","1.965,00","2.064,37","2.115,53","2.024,29","1.935,60","1.814,67","1.873,66","1.946,77","1.984,60","2.042,22","1.953,24","2.000,47","2.097,00","2.199,51","2.284,67","2.433,93","2.524,28","2.572,79","2.659,82","2.740,67","2.866,30","3.117,28","2.937,35","2.730,28","2.850,43","2.735,87","2.891,10","2.815,25","2.668,74","2.708,23","2.614,05","2.693,24","2.801,04","2.866,99","2.754,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAULÍNIA (SP),LPA,"1.711,57","1.536,54","1.658,26","1.784,19","1.889,93","1.998,02","2.148,26","2.256,74","2.368,66","2.437,55","2.280,85","2.094,55","1.944,71","1.878,07","1.610,43","1.493,42","1.383,37","1.297,13","1.414,73","1.343,29","1.199,62","1.149,83","1.311,04","1.427,76","1.488,72","1.598,38","1.683,54","1.771,94","1.835,64","1.937,75","2.038,89","2.088,77","1.995,67","1.918,06","1.813,98","1.864,94","1.938,05","1.973,92","2.031,44","1.941,77","1.986,36","2.086,22","2.186,38","2.273,01","2.422,27","2.515,37","2.562,11","2.649,33","2.735,67","2.868,56","3.118,65","2.953,23","2.766,74","2.886,88","2.781,63","2.930,79","2.857,78","2.711,46","2.750,96","2.656,78","2.735,96","2.843,76","2.909,72","2.797,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SÃO FRANCISCO DO CONDE (BA),LPA,"1.653,55","1.477,84","1.599,26","1.723,82","1.822,60","1.939,03","2.095,53","2.195,40","2.296,83","2.361,31","2.183,64","2.014,78","1.857,30","1.788,70","1.520,76","1.400,13","1.288,50","1.203,24","1.320,16","1.259,01","1.108,97","1.044,19","1.205,40","1.335,54","1.400,13","1.516,06","1.617,88","1.707,06","1.775,07","1.876,50","1.975,19","2.027,62","1.932,36","1.855,14","1.750,67","1.803,89","1.876,99","1.913,16","1.971,07","1.883,27","1.930,60","2.024,88","2.127,68","2.213,13","2.362,39","2.451,18","2.500,86","2.587,79","2.665,21","2.787,02","3.038,69","2.872,48","2.679,32","2.799,47","2.693,14","2.837,69","2.767,72","2.628,16","2.667,66","2.573,48","2.652,66","2.760,46","2.826,42","2.713,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SÃO JOSÉ DOS CAMPOS (SP),LPA,"1.676,58","1.501,46","1.623,17","1.749,20","1.854,94","1.963,04","2.113,17","2.221,66","2.333,67","2.402,47","2.245,87","2.059,47","1.933,34","1.866,61","1.598,97","1.481,96","1.371,90","1.285,66","1.403,26","1.331,92","1.188,15","1.138,37","1.299,58","1.416,30","1.477,25","1.586,91","1.672,08","1.760,47","1.824,27","1.926,29","2.027,42","2.077,31","1.984,21","1.906,59","1.802,51","1.853,57","1.926,68","1.962,45","2.019,98","1.930,31","1.974,90","2.074,76","2.174,91","2.261,55","2.410,80","2.503,90","2.550,65","2.637,87","2.724,20","2.857,09","3.107,19","2.941,76","2.755,27","2.875,42","2.764,87","2.913,93","2.840,92","2.694,61","2.734,10","2.639,92","2.719,11","2.826,91","2.892,86","2.780,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SÃO LUÍS ALUMAR (MA),LTM,"1.446,28","1.270,47","1.391,89","1.516,94","1.618,47","1.719,90","1.873,76","1.977,25","2.082,89","2.149,14","1.979,70","1.803,69","1.622,88","1.554,48","1.286,54","1.166,89","1.055,85","970,102","1.087,51","1.022,14","874,356","815,36","976,57","1.102,01","1.164,14","1.277,82","1.375,33","1.461,77","1.525,17","1.626,51","1.725,88","1.777,03","1.685,89","1.607,98","1.501,75","1.554,28","1.627,39","1.665,22","1.722,84","1.633,86","1.681,09","1.777,62","1.880,13","1.965,39","2.114,64","2.205,00","2.253,51","2.340,53","2.421,38","2.547,02","2.798,00","2.630,81","2.440,69","2.560,84","2.455,10","2.601,51","2.531,34","2.384,83","2.424,32","2.330,15","2.409,43","2.517,23","2.583,18","2.470,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SÃO LUIS ITAQUI (MA),LTM,"1.651,50","1.476,17","1.597,79","1.723,04","1.824,56","1.945,59","2.099,55","2.202,84","2.308,49","2.374,83","2.205,69","2.029,87","1.862,00","1.793,99","1.526,15","1.407,18","1.296,34","1.210,79","1.328,49","1.263,12","1.115,83","1.057,32","1.266,45","1.343,29","1.406,50","1.519,69","1.616,51","1.703,14","1.765,96","1.867,59","1.967,25","2.018,70","1.924,72","1.847,30","1.743,03","1.795,36","1.868,47","1.904,43","1.962,25","1.873,66","1.919,92","2.016,45","2.118,17","2.204,12","2.353,37","2.443,83","2.492,34","2.579,46","2.660,41","2.786,73","3.037,71","2.871,89","2.681,38","2.801,53","2.695,69","2.842,10","2.771,44","2.625,03","2.664,52","2.570,34","2.649,53","2.757,33","2.823,28","2.710,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VITÓRIA (ES),ETD,"1.648,16","1.473,23","1.595,05","1.720,59","1.823,49","1.946,48","2.099,45","2.204,12","2.311,82","2.378,85","2.213,82","2.034,87","1.830,44","1.763,12","1.495,48","1.377,59","1.267,14","1.181,49","1.299,38","1.232,25","1.086,43","1.030,96","1.192,17","1.314,67","1.377,29","1.489,01","1.580,05","1.669,04","1.735,87","1.837,99","1.938,44","1.989,69","1.895,42","1.817,80","1.713,73","1.765,47","1.838,58","1.875,13","1.933,05","1.844,56","1.889,34","1.986,95","2.087,30","2.174,13","2.323,38","2.414,82","2.462,74","2.549,96","2.632,67","2.761,74","3.012,42","2.846,31","2.656,88","2.777,03","2.671,68","2.818,87","2.746,94","2.597,98","2.637,47","2.543,30","2.622,48","2.730,28","2.796,23","2.683,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,